Sender, Message
Abbott,  Sure.,3, 9
Costello,  The pitcher's name?,3, 9
Abbott,  Tomorrow.,3, 9
Costello,  You don't want to tell me today?,3, 9
Abbott,  I'm telling you then.,3, 9
Costello,  Well go ahead.,3, 9
Abbott,  Tomorrow.,3, 9
Costello,  What time?,3, 9
Abbott,  What time what?,3, 9
Costello,  At what time tomorrow are you going to tell me who's pitching?,3, 9
Abbott,"  Now listen, Who is not pitching. Who is on'",3, 9
Costello,"  I'll break your arm you say who's on first! I want to know, what's the pitcher's name?",3, 9
Abbott,  What's on second!,3, 9
Costello,  I don't know!,3, 9
Both,  Third base!,3, 9
Costello,  Got a catcher?,3, 9
Abbott,  Certainly.,3, 9
Costello,  The catcher's name.,3, 9
Abbott,  Today.,3, 9
Costello,  Today? And tomorrow's pitching?,3, 9
Abbott,  Now you've got it.,3, 9
Costello,"  All we got is a couple of days on the team. You know, I'm a catcher too.",3, 9
Abbott,  So they tell me.,3, 9
Costello,"  I get behind the plate, do some fancy catching. Tomorrow's pitching on my team and a heavy hitter gets up.",3, 9
Abbott,  Yes.,3, 9
Costello,"  Now, the heavy hitter bunts the ball. When he bunts the ball, me being a good catcher, I want to throw the guy out at first base. So I pick up the ball, and throw it to who?",3, 9
Abbott,  Now that's the first thing that you've said right.,3, 9
Costello,  I don't even know what I'm talking about!,3, 9
Abbott,  Well that's all you have to do!,3, 9
Costello,  Is throw the ball to first base?,3, 9
Abbott,  Yes.,3, 9
Costello,  Now who's got it?,3, 9
Abbott,  Naturally.,3, 9
Costello,"  Look, if I throw the ball to first base, somebody's got to get it. Now who has it?",3, 9
Abbott,  Naturally.,3, 9
Costello,  Who?,3, 9
Abbott,  Naturally.,3, 9
Costello,  Naturally?,3, 9
Abbott,  Naturally.,3, 9
Costello,  So I pick up the ball and throw it to Naturally?,3, 9
Abbott,  No you don't! You throw the ball to Who!,3, 9
Costello,  Naturally.,3, 9
Abbott,  That's different.,3, 9
Costello,  That's what I said.,3, 9
Abbott,  You're not saying that.,3, 9
Costello,  I throw the ball to Naturally?,3, 9
Abbott,  You throw it to Who.,3, 9
Costello,  Naturally.,3, 9
Abbott,  That's it.,3, 9
Costello,  That's what I said!,3, 9
Abbott,"  Listen, you ask me.",3, 9
Costello,  I throw the ball to who?,3, 9
Abbott,  Naturally.,3, 9
Costello,  Now you ask me.,3, 9
Abbott,  You throw the ball to Who?,3, 9
Costello,  Naturally.,3, 9
Abbott,  That's it.,3, 9
Costello,  Same as you!,3, 9
Abbott,  You just changed them around.,3, 9
Costello,"  Same as you! I throw the ball to who. Whoever it is drops the ball, the guy runs to second, who picks up the ball, throw's it to what, what throw's it to I don't know, I don't know throw's it back to tomorrow, triple play!",3, 9
Abbott,  Yes.,3, 9
Costello,"  Another guy gets up, and it's a long fly ball to because. Why? I don't know, he's on third, and I don't give a darn!",3, 9
Abbott,  Oh'What?,3, 9
Costello,"  I said, I don't give a darn!",3, 9
Abbott,"  Oh, that's our short stop.",3, 9
Costello,  (Fumbles words loudly),3, 9
